Passenger_ID,Gender,Travel_Class,Frequent_Flyer,Age,Flight_Status,Flight_Duration_Hrs,Feedback,Service_Area,Sentiment
2000,Female,Economy,Yes,62.93,On Time,2.8,Very courteous staff and smooth check-in process.,Ground Service,1
2001,Male,Business,No,51.85,Delayed,8.9,Boarding was chaotic and unorganized.,Boarding,0
2002,Male,Premium Economy,Yes,53.73,On Time,8.3,Flight was delayed and no proper updates.,Luggage Handling,0
2003,Male,Business,Yes,26.46,Delayed,9.8,Service was decent but food could be better.,Check-in,0
2004,Female,Premium Economy,Yes,21.83,Cancelled,7.9,"Nothing special, average service.",In-flight Service,0
2005,Female,Premium Economy,No,61.98,Cancelled,3.5,Boarding was chaotic and unorganized.,Luggage Handling,0
2006,Female,Economy,No,33.34,Cancelled,9.5,"Nothing special, average service.",Luggage Handling,0
2007,Male,Economy,No,34.57,Delayed,10.9,Unhappy with how luggage was handled.,In-flight Service,0
2008,Male,Business,No,67.49,Delayed,14.7,"Seats were cramped, not comfortable.",In-flight Service,0
2009,Male,Premium Economy,Yes,21.86,Delayed,1.0,"Fantastic experience, loved the in-flight entertainment!",Customer Support,1
2010,Male,Premium Economy,Yes,26.85,On Time,1.3,Unhappy with how luggage was handled.,Check-in,0
2011,Female,Premium Economy,No,37.52,Delayed,9.8,"Nothing special, average service.",Check-in,0
2012,Male,Premium Economy,No,56.06,On Time,2.7,Everything was perfect!,Check-in,1
2013,Male,Economy,No,46.45,Cancelled,12.9,Everything was perfect!,Boarding,1
2014,Female,Business,No,64.7,Cancelled,12.2,Really impressed with the cleanliness and hospitality.,Boarding,1
2015,Female,Economy,Yes,22.84,Delayed,15.0,Flight was delayed and no proper updates.,Boarding,0
2016,Male,Economy,Yes,48.89,Delayed,6.8,Really impressed with the cleanliness and hospitality.,Check-in,1
2017,Female,Premium Economy,Yes,49.91,Cancelled,5.7,Really impressed with the cleanliness and hospitality.,Ground Service,1
2018,Female,Economy,Yes,43.1,Cancelled,8.8,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2019,Male,Business,No,19.61,Cancelled,9.9,"Nothing special, average service.",Check-in,0
2020,Female,Economy,Yes,67.01,On Time,1.2,Everything was perfect!,Check-in,1
2021,Female,Economy,No,26.58,On Time,3.8,"Fantastic experience, loved the in-flight entertainment!",Customer Support,1
2022,Male,Business,Yes,64.27,Delayed,4.9,"Nothing special, average service.",Check-in,0
2023,Male,Economy,No,26.17,On Time,12.1,Flight was delayed and no proper updates.,Customer Support,0
2024,Female,Economy,No,23.27,Cancelled,5.3,Very courteous staff and smooth check-in process.,Luggage Handling,1
2025,Male,Business,No,28.69,On Time,8.1,Flight was delayed and no proper updates.,In-flight Service,0
2026,Male,Economy,No,27.88,Cancelled,5.5,Boarding was chaotic and unorganized.,In-flight Service,0
2027,Male,Business,No,54.25,Delayed,1.1,"Seats were cramped, not comfortable.",Luggage Handling,0
2028,Female,Economy,No,55.55,On Time,10.6,"Seats were cramped, not comfortable.",In-flight Service,0
2029,Female,Economy,Yes,55.96,Cancelled,5.8,Service was decent but food could be better.,Luggage Handling,0
2030,Female,Economy,Yes,31.79,Cancelled,11.1,"Seats were cramped, not comfortable.",Customer Support,0
2031,Female,Economy,Yes,32.64,Delayed,9.6,Everything was perfect!,In-flight Service,1
2032,Female,Premium Economy,No,30.35,On Time,1.4,Really impressed with the cleanliness and hospitality.,Ground Service,1
2033,Female,Economy,No,20.58,On Time,3.5,Everything was perfect!,Check-in,1
2034,Male,Economy,No,47.73,Delayed,5.6,"Nothing special, average service.",Luggage Handling,0
2035,Female,Business,Yes,61.67,Cancelled,5.7,"Nothing special, average service.",Customer Support,0
2036,Female,Economy,No,25.99,On Time,10.4,"Nothing special, average service.",Check-in,0
2037,Female,Economy,Yes,36.76,Delayed,13.8,Unhappy with how luggage was handled.,Customer Support,0
2038,Female,Economy,Yes,40.24,On Time,12.2,"Seats were cramped, not comfortable.",Boarding,0
2039,Female,Economy,No,33.32,Delayed,10.0,Very courteous staff and smooth check-in process.,Check-in,1
2040,Female,Business,No,52.43,On Time,7.7,"Fantastic experience, loved the in-flight entertainment!",In-flight Service,1
2041,Male,Premium Economy,No,49.21,Cancelled,9.8,Everything was perfect!,Boarding,1
2042,Male,Business,Yes,28.38,Delayed,13.5,Boarding was chaotic and unorganized.,In-flight Service,0
2043,Male,Premium Economy,No,19.34,Delayed,8.5,Very courteous staff and smooth check-in process.,In-flight Service,1
2044,Male,Business,No,26.88,On Time,5.7,Flight was delayed and no proper updates.,Check-in,0
2045,Male,Premium Economy,No,33.17,Cancelled,12.0,Flight was delayed and no proper updates.,Customer Support,0
2046,Male,Economy,Yes,22.26,Cancelled,6.8,Everything was perfect!,Ground Service,1
2047,Male,Premium Economy,No,61.88,Delayed,11.4,Everything was perfect!,Check-in,1
2048,Female,Business,Yes,34.03,Cancelled,12.7,"Nothing special, average service.",Luggage Handling,0
2049,Male,Economy,No,38.67,Delayed,5.2,Unhappy with how luggage was handled.,In-flight Service,0
2050,Male,Business,Yes,43.43,Delayed,11.1,Flight was delayed and no proper updates.,Boarding,0
2051,Male,Business,No,52.37,Delayed,5.4,Unhappy with how luggage was handled.,In-flight Service,0
2052,Male,Premium Economy,No,22.74,On Time,8.5,"Fantastic experience, loved the in-flight entertainment!",Customer Support,1
2053,Female,Premium Economy,Yes,46.29,On Time,3.9,Everything was perfect!,Customer Support,1
2054,Female,Business,No,27.61,Delayed,10.6,Service was decent but food could be better.,Ground Service,0
2055,Female,Economy,Yes,64.05,Cancelled,12.2,Everything was perfect!,Luggage Handling,1
2056,Male,Premium Economy,Yes,37.21,Cancelled,13.4,"Seats were cramped, not comfortable.",Check-in,0
2057,Female,Premium Economy,No,41.18,Cancelled,6.0,Service was decent but food could be better.,In-flight Service,0
2058,Male,Business,Yes,31.69,Delayed,14.6,"Seats were cramped, not comfortable.",Check-in,0
2059,Male,Premium Economy,No,42.18,Cancelled,4.9,"Seats were cramped, not comfortable.",Customer Support,0
2060,Female,Business,No,29.76,Delayed,1.4,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2061,Female,Economy,No,31.97,Cancelled,14.8,Really impressed with the cleanliness and hospitality.,Boarding,1
2062,Female,Economy,Yes,21.21,On Time,9.8,Unhappy with how luggage was handled.,Boarding,0
2063,Female,Premium Economy,No,57.12,On Time,12.8,"Fantastic experience, loved the in-flight entertainment!",Customer Support,1
2064,Female,Economy,Yes,52.71,Delayed,9.0,Unhappy with how luggage was handled.,Luggage Handling,0
2065,Female,Economy,Yes,22.46,Delayed,6.5,Unhappy with how luggage was handled.,Check-in,0
2066,Male,Premium Economy,No,35.88,Delayed,9.3,"Fantastic experience, loved the in-flight entertainment!",Luggage Handling,1
2067,Male,Premium Economy,Yes,46.16,Cancelled,13.1,"Seats were cramped, not comfortable.",Boarding,0
2068,Male,Economy,Yes,68.48,Cancelled,11.5,Unhappy with how luggage was handled.,Luggage Handling,0
2069,Male,Business,No,48.67,On Time,10.9,"Nothing special, average service.",Boarding,0
2070,Male,Premium Economy,Yes,46.79,Cancelled,5.4,"Fantastic experience, loved the in-flight entertainment!",Check-in,1
2071,Female,Premium Economy,No,61.72,On Time,1.4,"Seats were cramped, not comfortable.",Check-in,0
2072,Female,Premium Economy,No,60.56,On Time,6.8,Service was decent but food could be better.,Check-in,0
2073,Male,Economy,Yes,39.77,On Time,8.0,"Fantastic experience, loved the in-flight entertainment!",Customer Support,1
2074,Female,Business,Yes,45.85,Cancelled,4.3,Really impressed with the cleanliness and hospitality.,Ground Service,1
2075,Male,Business,No,63.08,Delayed,7.3,Unhappy with how luggage was handled.,Luggage Handling,0
2076,Female,Premium Economy,Yes,42.69,On Time,14.3,Unhappy with how luggage was handled.,Boarding,0
2077,Male,Business,Yes,63.85,On Time,4.0,Boarding was chaotic and unorganized.,Check-in,0
2078,Male,Business,Yes,42.77,On Time,5.2,Service was decent but food could be better.,Ground Service,0
2079,Male,Economy,No,22.11,On Time,2.6,Boarding was chaotic and unorganized.,Check-in,0
2080,Female,Premium Economy,No,64.94,Delayed,12.0,"Seats were cramped, not comfortable.",Boarding,0
2081,Male,Economy,Yes,55.14,Cancelled,11.9,Flight was delayed and no proper updates.,Customer Support,0
2082,Female,Premium Economy,Yes,44.11,Delayed,13.8,"Fantastic experience, loved the in-flight entertainment!",Customer Support,1
2083,Female,Premium Economy,Yes,64.82,Delayed,7.2,Everything was perfect!,Luggage Handling,1
2084,Male,Premium Economy,Yes,59.62,Cancelled,1.3,Boarding was chaotic and unorganized.,Boarding,0
2085,Male,Economy,No,53.23,Delayed,7.8,Boarding was chaotic and unorganized.,Customer Support,0
2086,Female,Premium Economy,Yes,50.25,Cancelled,8.0,Flight was delayed and no proper updates.,Luggage Handling,0
2087,Female,Premium Economy,No,24.25,Cancelled,3.7,"Seats were cramped, not comfortable.",Boarding,0
2088,Male,Premium Economy,No,57.37,Delayed,13.9,"Nothing special, average service.",Luggage Handling,0
2089,Male,Economy,Yes,26.99,Delayed,11.3,Unhappy with how luggage was handled.,Luggage Handling,0
2090,Male,Business,No,69.19,On Time,8.3,Service was decent but food could be better.,Boarding,0
2091,Female,Economy,No,68.55,Delayed,11.9,"Nothing special, average service.",In-flight Service,0
2092,Female,Business,No,60.04,Cancelled,3.0,"Fantastic experience, loved the in-flight entertainment!",Boarding,1
2093,Male,Economy,Yes,24.56,On Time,13.2,"Nothing special, average service.",Ground Service,0
